iter	RMSE
0	12.97764438
1	11.9046299
2	10.87306833
3	10.06539732
4	9.299329566
5	8.599532052
6	7.904434556
7	7.282566149
8	6.683330352
9	6.191424375
10	5.753808585
11	5.316193838
12	4.941337856
13	4.55728494
14	4.2424675
15	3.931763308
16	3.647143031
17	3.377133501
18	3.135832184
19	2.900897172
20	2.71201867
21	2.545901593
22	2.371051146
23	2.216463553
24	2.087766205
25	1.959435212
26	1.850386924
27	1.740242298
28	1.651617907
29	1.567631801
30	1.476021518
31	1.399166714
32	1.327455423
33	1.264872784
34	1.215812144
35	1.159745827
36	1.102069135
37	1.061622957
38	1.019104275
39	0.9823328341
40	0.9506837221
41	0.922474289
42	0.8983456469
43	0.8728209034
44	0.850237479
45	0.8297102344
46	0.8113782485
47	0.7930573109
48	0.7797834821
49	0.7648157468
50	0.750913142
51	0.738988324
52	0.727271561
53	0.7239372926
54	0.7122811931
55	0.7050748319
56	0.6964322843
57	0.6937704948
58	0.6865146921
59	0.6794408181
60	0.6709535449
61	0.6630713727
62	0.6557582517
63	0.653814283
64	0.6510104413
65	0.6436125117
66	0.6374018711
67	0.6317448771
68	0.6273683517
69	0.6247007237
70	0.622320828
71	0.619351337
72	0.6152104017
73	0.6097222726
74	0.6084802685
75	0.6071703803
76	0.6058239257
77	0.6001298229
78	0.5945625383
79	0.5934616936
80	0.5925201285
81	0.5885484702
82	0.5846769638
83	0.5840129869
84	0.5829833401
85	0.5800231342
86	0.5786065577
87	0.5764216656
88	0.5757074762
89	0.5715807888
90	0.5709501516
91	0.5683609692
92	0.5678670943
93	0.5673358688
94	0.5635346326
95	0.5569726204
96	0.5565318029
97	0.5554373523
98	0.5550092997
99	0.5503375937
