iter	Passed	Remaining
0	0	93
1	2	120
2	3	116
3	5	120
4	6	120
5	7	119
6	8	117
7	10	116
8	11	114
9	12	112
10	13	112
11	15	111
12	15	105
13	16	101
14	17	97
15	17	94
16	19	94
17	20	93
18	21	92
19	23	92
20	24	91
21	25	91
22	27	90
23	28	90
24	29	89
25	31	88
26	32	88
27	33	87
28	35	85
29	36	85
30	37	84
31	39	83
32	40	81
33	41	80
34	42	79
35	43	77
36	45	77
37	46	76
38	47	74
39	48	73
40	49	71
41	50	70
42	52	68
43	53	67
44	54	66
45	55	65
46	56	63
47	57	62
48	58	60
49	59	59
50	60	58
51	61	56
52	61	54
53	63	53
54	64	52
55	66	51
56	67	50
57	68	49
58	69	48
59	71	47
60	72	46
61	73	44
62	73	43
63	74	41
64	75	40
65	75	39
66	77	38
67	78	36
68	79	35
69	79	34
70	80	32
71	80	31
72	81	30
73	82	28
74	82	27
75	83	26
76	83	25
77	84	23
78	84	22
79	85	21
80	85	20
81	86	18
82	87	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	99	2
98	99	1
99	100	0
