iter	RMSE
0	13.68362204
1	13.26037983
2	12.85571047
3	12.41686168
4	12.00902586
5	11.63529128
6	11.29095654
7	10.91971369
8	10.56631256
9	10.21805911
10	9.87610209
11	9.554273242
12	9.253769641
13	8.977980179
14	8.689870403
15	8.417087081
16	8.143213728
17	7.884149607
18	7.629751796
19	7.422797382
20	7.190778609
21	6.964231534
22	6.741397728
23	6.535056406
24	6.339885708
25	6.154293611
26	5.961267434
27	5.774814666
28	5.592024159
29	5.410893026
30	5.251727386
31	5.10435896
32	4.944750787
33	4.801504539
34	4.656507616
35	4.524789828
36	4.388312584
37	4.260410934
38	4.138760993
39	4.015348567
40	3.896635709
41	3.782429752
42	3.679518271
43	3.574739724
44	3.467472069
45	3.376905446
46	3.279618549
47	3.192090226
48	3.107548466
49	3.019918124
50	2.937537843
51	2.857414384
52	2.778774072
53	2.708561376
54	2.640099202
55	2.575100398
56	2.50975323
57	2.44444989
58	2.374641206
59	2.309142254
60	2.253596429
61	2.195763586
62	2.143366806
63	2.087465185
64	2.039988616
65	1.987702793
66	1.934598732
67	1.886693432
68	1.843758939
69	1.794861319
70	1.752041584
71	1.706601353
72	1.665744819
73	1.628664709
74	1.586557934
75	1.549236268
76	1.512106362
77	1.482027847
78	1.44784243
79	1.416359153
80	1.385605834
81	1.355922639
82	1.324460447
83	1.295115144
84	1.267119987
85	1.238873071
86	1.212571918
87	1.186298395
88	1.167066497
89	1.145224214
90	1.120395641
91	1.10097095
92	1.079501847
93	1.061251406
94	1.040492443
95	1.023389377
96	1.006335936
97	0.9917334409
98	0.975101853
99	0.9581370045
100	0.9418529389
101	0.9279987076
102	0.9130153987
103	0.9003364126
104	0.8865729355
105	0.8738117019
106	0.8593046774
107	0.8478022792
108	0.8351185558
109	0.8244471113
110	0.813294735
111	0.8021999331
112	0.7925523933
113	0.7814262681
114	0.7721653431
115	0.7624723225
116	0.7539531452
117	0.7475533229
118	0.7392686059
119	0.7303698478
120	0.7229863709
121	0.7150193498
122	0.7070922237
123	0.7026442737
124	0.6954356691
125	0.6897682293
126	0.6875659989
127	0.6805181456
128	0.6731521712
129	0.667258005
130	0.6609890892
131	0.6552981322
132	0.649838322
133	0.6447906513
134	0.6387996338
135	0.634047272
136	0.6301993123
137	0.6263050711
138	0.6213969259
139	0.6199016649
140	0.6175179125
141	0.6157646111
142	0.611380119
143	0.6077065472
144	0.6036430233
145	0.6000841186
146	0.5955661638
147	0.5937380525
148	0.5909873265
149	0.5874392503
150	0.5857798175
151	0.5827568025
152	0.5798348086
153	0.5760258367
154	0.5731330243
155	0.5713673325
156	0.5679170883
157	0.5644559458
158	0.5634646913
159	0.5610577683
160	0.5592785406
161	0.5565545088
162	0.5536120567
163	0.5514307885
164	0.5473481254
165	0.5456271568
166	0.5447634692
167	0.5408172407
168	0.5382815959
169	0.5348783926
170	0.5318040711
171	0.5298364628
172	0.5278577042
173	0.5248434404
174	0.524185794
175	0.5225209886
176	0.5218173128
177	0.5212704827
178	0.5186795242
179	0.5151596457
180	0.5124130211
181	0.5112338435
182	0.5100612735
183	0.5094461895
184	0.50797276
185	0.5049191287
186	0.5043690895
187	0.503293418
188	0.501756128
189	0.5007489882
190	0.5001922288
191	0.4996868781
192	0.4991396264
193	0.4965541239
194	0.4946773877
195	0.4938978422
196	0.4913723272
197	0.4875749129
198	0.4855874058
199	0.4850928295
200	0.4827027007
201	0.4822271494
202	0.4796712003
203	0.4791753346
204	0.4788023914
205	0.4780750209
206	0.475037472
207	0.4744922189
208	0.4738957709
209	0.4732170437
210	0.4724386188
211	0.4700480986
212	0.4696983504
213	0.469382813
214	0.4690732843
215	0.4687034302
216	0.4679079631
217	0.467610174
218	0.4672920544
219	0.4657270671
220	0.4642123333
221	0.4636924164
222	0.4634244474
223	0.463161602
224	0.4629037849
225	0.4617618491
226	0.4615134358
227	0.459319224
228	0.4590787033
229	0.4585757044
230	0.4582893966
231	0.4567916229
232	0.4562493134
233	0.4539864279
234	0.4536709767
235	0.4534594685
236	0.4531958441
237	0.4529923715
238	0.4527472836
239	0.4498801652
240	0.4496865723
241	0.4469504418
242	0.4467626561
243	0.4453423168
244	0.4451611107
245	0.4434122422
246	0.4431818693
247	0.4414157327
248	0.4396203606
249	0.438549499
250	0.4373490415
251	0.4347259132
252	0.4333738789
253	0.4320753558
254	0.4313056474
255	0.4300920871
256	0.428706038
257	0.4279690277
258	0.4264381755
259	0.4261045902
260	0.4251127138
261	0.4249157534
262	0.4247852187
263	0.4237721441
264	0.4224700815
265	0.4212408804
266	0.4188068188
267	0.4186842514
268	0.4180010161
269	0.4178831581
270	0.4161120446
271	0.4159840352
272	0.4158623343
273	0.4136720528
274	0.4127309837
275	0.411928326
276	0.4109530313
277	0.4095333259
278	0.4085031298
279	0.408206733
280	0.4080996893
281	0.4075775083
282	0.4066552882
283	0.4058801049
284	0.4045012989
285	0.4043515869
286	0.4042639877
287	0.4035047874
288	0.4015493291
289	0.4014254599
290	0.4013054073
291	0.4005236191
292	0.3989382475
293	0.3979982763
294	0.3972627643
295	0.3959647308
296	0.394321138
297	0.3933906003
298	0.3923573208
299	0.3905307365
300	0.3890409841
301	0.3889301944
302	0.3874819132
303	0.386817876
304	0.385184107
305	0.3838353645
306	0.3828407463
307	0.381958496
308	0.3811224919
309	0.3799588545
310	0.3787078045
311	0.3778650625
312	0.3771816423
313	0.3763925458
314	0.376304366
315	0.3755386614
316	0.3747570651
317	0.3739937367
318	0.3724889238
319	0.3712288616
320	0.3699816441
321	0.3683557848
322	0.367269864
323	0.3664463243
324	0.3663729498
325	0.3648833406
326	0.3633826783
327	0.3619337161
328	0.361153017
329	0.3610849841
330	0.36003365
331	0.3590537032
332	0.3583561709
333	0.3576902892
334	0.3566176664
335	0.3560633309
336	0.3550631844
337	0.3543930723
338	0.353645275
339	0.3527914581
340	0.3513740281
341	0.3503455191
342	0.3498922274
343	0.3492462236
344	0.3485613132
345	0.3478984601
346	0.3469257911
347	0.3464372057
348	0.3454347027
349	0.3440699465
350	0.3433278976
351	0.3419070225
352	0.3407960539
353	0.3402101065
354	0.3389309589
355	0.3377560253
356	0.3371801926
357	0.3358884475
358	0.3350714347
359	0.3345588185
360	0.3331450825
361	0.3325618173
362	0.3319828627
363	0.3310761624
364	0.3304839488
365	0.3291692954
366	0.3286935069
367	0.32787066
368	0.3266851213
369	0.325977533
370	0.3247720442
371	0.3239196093
372	0.3233952762
373	0.3230005876
374	0.3223702421
375	0.3217390855
376	0.3209086117
377	0.3200430758
378	0.319251806
379	0.3182313885
380	0.3171222143
381	0.3167420295
382	0.3157890334
383	0.3150531407
384	0.3144879699
385	0.3134814802
386	0.3129173574
387	0.3123703767
388	0.311345483
389	0.3102881326
390	0.309504209
391	0.3089860291
392	0.30797487
393	0.3076161778
394	0.3071521457
395	0.3063402489
396	0.3051649188
397	0.3046246244
398	0.3036034512
399	0.3029200862
400	0.3020895935
401	0.3008513924
402	0.2998534901
403	0.298775025
404	0.2982894264
405	0.2975526599
406	0.2967198235
407	0.2962659372
408	0.2955690568
409	0.2948243945
410	0.2936337971
411	0.2928599919
412	0.292508996
413	0.2916255894
414	0.2909007798
415	0.2901065254
416	0.2891760082
417	0.2888366909
418	0.2884011314
419	0.2878956017
420	0.2869848769
421	0.2865146411
422	0.2857458391
423	0.2849480715
424	0.2838537234
425	0.2831697632
426	0.2824054101
427	0.2817143079
428	0.2810056333
429	0.2804732956
430	0.2800146816
431	0.2793994911
432	0.2789952878
433	0.2782718953
434	0.2775587337
435	0.2770646118
436	0.2763724844
437	0.2758903388
438	0.2749984161
439	0.2744909141
440	0.274175001
441	0.2737506194
442	0.2730269302
443	0.2723842859
444	0.272015181
445	0.2713076743
446	0.2702666973
447	0.2695850733
448	0.2686060346
449	0.2679514154
450	0.2670122019
451	0.2666930098
452	0.2663722072
453	0.2659751347
454	0.265534191
455	0.2649265889
456	0.2642999933
457	0.2636013327
458	0.262942419
459	0.2623895336
460	0.2617699535
461	0.2613828699
462	0.2610708812
463	0.2607020155
464	0.2600578687
465	0.2596754346
466	0.2591660061
467	0.2584938954
468	0.2579149628
469	0.2573922881
470	0.2568448696
471	0.2563700507
472	0.2558158408
473	0.2553767812
474	0.2547648267
475	0.253972065
476	0.2534657761
477	0.2526395803
478	0.2522103688
479	0.2519942475
480	0.251432274
481	0.2511875887
482	0.2507592043
483	0.2503513982
484	0.2498811768
485	0.2495186521
486	0.2488608041
487	0.2484281921
488	0.2478965903
489	0.2473549633
490	0.2468000956
491	0.2464806551
492	0.2458164934
493	0.2450199145
494	0.2444944478
495	0.2441757758
496	0.2434278634
497	0.2428648884
498	0.2428058676
499	0.2425053189
500	0.242047842
501	0.2416846066
502	0.2411664249
503	0.24070158
504	0.2403404691
505	0.2401204559
506	0.239650085
507	0.2390334609
508	0.2386984294
509	0.2385983798
510	0.2382669858
511	0.2376922935
512	0.2373723644
513	0.2370772285
514	0.2366882718
515	0.2362289539
